Stock,Date,Close,SMA_50,SMA_200,EMA_50,EMA_200,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ADX,+DI,-DI,ATR,Supertrend,Volume_Change,52W_High,52W_Low,Gap_Up,Gap_Down
ADANIENT.NS,2025-03-06,2252.85009765625,2321.253017578125,2806.174787597656,2308.009187445564,2726.404705756229,52.52784074099564,-40.70447639857639,13.668612051357272,2371.5180392602038,2208.2025146484375,2044.886990036671,28.284822454117826,19.944782292945035,23.97819594579657,78.4506824961372,2306.4853872794897,-35.05874727940758,,,1,0
ADANIGREEN.NS,2025-03-06,845.9500122070312,957.5239965820313,1505.306000366211,972.9756869878931,1421.815065568947,42.47623576354185,-48.332521495090646,1.5883450526333078,1000.7707177910304,874.9725006103515,749.1742834296726,28.867533731153365,19.645713060216103,25.899411728309843,46.550467872903845,911.6427860962995,-43.21396652039075,,,1,0
ADANIPORTS.NS,2025-03-06,1136.199951171875,1122.3519897460938,1331.987484741211,1129.925865053815,1277.6254428723134,57.208788851460376,-9.076507837764439,5.165219914589377,1165.6417416662446,1100.1249877929688,1034.608233919693,28.362583082177494,24.453765834329808,20.264457884759942,39.07816511590396,1155.069936554325,6.164734373146841,,,1,0
COALINDIA.NS,2025-03-06,382.6000061035156,371.83189575195314,432.84238006591795,376.02613931469887,416.58877486245797,59.11982837944616,-1.1947365821303606,1.8843584961803077,380.40888022308303,365.957502746582,351.506125270081,17.735911023540318,25.161150663727714,22.849988744139946,11.051117294534139,353.3568455755797,96.1769017468251,,,1,0
ONGC.NS,2025-03-06,232.60000610351562,244.86241638183594,266.1834228515625,242.36125652844748,259.84373113482025,44.24782860446933,-5.032576604657663,-0.2840392071402267,249.4006835702491,235.5839988708496,221.7673141714501,29.627418684561686,15.743065748678399,31.232180326818305,7.054038002929845,242.48032236460415,39.775583123480175,,,1,0
BPCL.NS,2025-03-06,265.0400085449219,263.1082131958008,299.0069655609131,263.1888840031196,288.1349390737074,58.19481846566885,-2.898303126579634,1.6528977328921766,267.1897568946366,253.4754997253418,239.76124255604694,24.958058050460764,27.03498880257761,24.117096298966402,8.312969564700524,237.2244130104159,64.37828603813718,,,1,0
IOC.NS,2025-03-06,125.83999633789062,125.8468002319336,151.1095719909668,125.92144663614313,146.25325404456942,57.10181820301617,-1.6743808376684797,0.8683692963549823,126.84256981691973,120.17199974060058,113.50142966428143,27.648303735824186,30.74698199574474,28.771194929554397,3.8014142352086395,113.72218454733128,-1.002586544056061,,,1,0
HINDALCO.NS,2025-03-06,681.9500122070312,606.0190014648438,659.722071838379,622.4875405988801,637.9676130619386,71.55345218285959,14.633013382659556,5.156980034033419,671.2206426191252,624.4200012207032,577.6193598222811,19.447281194001768,33.607596450392776,12.330040238435203,19.642995150330524,613.428123077336,39.56472374751052,,,1,0
TATASTEEL.NS,2025-03-06,150.44000244140625,133.96279907226562,151.54706260681152,137.28560076956015,148.37153276139352,71.10882854864573,2.8398403660410736,1.2668254779804538,146.37637591389597,137.3224983215332,128.26862072917044,22.72288283634279,36.47063282093188,11.75707871988737,4.462465759154627,135.2037555170616,27.360551370528153,,,1,0
JSWSTEEL.NS,2025-03-06,1011.0999755859375,939.2539990234375,943.4011764526367,956.8639099765286,929.9282149940849,65.16488368993497,12.88318789934408,2.355841378504291,1003.139160521567,972.0774993896484,941.0158382577299,22.51684683393897,27.540924280952428,12.60889515609282,23.699735160028858,934.6135684616985,-10.872254258568914,,,1,0
EICHERMOT.NS,2025-03-06,5094.39990234375,5056.939990234375,4861.661267089844,4993.118793159943,4807.262284389419,54.75818407382288,-35.78407701552078,15.109014022645866,5343.288536604202,4951.780004882812,4560.271473161422,17.231114201813586,27.041218930657653,24.58678201267444,140.5169422377618,5144.345524878315,17.4702353985829,,,1,0
HEROMOTOCO.NS,2025-03-06,3648.75,3974.56431640625,4840.265690917969,4006.4810941818123,4574.713186698085,36.24839818575808,-121.42943861601998,-26.190031174063577,4203.9029770863635,3855.258508300781,3506.614039515199,33.28597613370379,12.177360368176197,30.894430049976922,103.83767695019843,3877.0414254563066,6.9895205397747295,,,1,0
BAJAJ-AUTO.NS,2025-03-06,7462.25,8564.732939453124,9654.106149902344,8560.902562770269,9257.262945230475,24.677177692482697,-317.654238264955,-124.05405583728242,9331.718820992828,8345.899926757813,7360.081032522798,31.385799607785348,10.582701912052407,40.85915891024309,205.70275370714202,8028.491521887293,22.364649936487947,,,1,0
CIPLA.NS,2025-03-06,1461.75,1459.745,1518.7325695800782,1459.734105996451,1488.5463007634166,52.998933668994454,-7.6883596623733865,-3.0895239723176102,1504.7018009136834,1454.625,1404.5481990863166,12.716618652861966,24.46871194499386,23.285724194340073,34.156876836602386,1483.9897657756078,-30.294264179575194,,,1,0
DIVISLAB.NS,2025-03-06,5568.7001953125,5838.939970703125,5372.860249023437,5796.473243630089,5227.258324080616,41.15678996941305,-93.78846794054607,-36.202838219221654,6212.151535109565,5803.5899658203125,5395.02839653106,21.169307312223314,15.49028485542615,26.567846312192184,176.9314723351883,6042.138181082219,-28.55288856252646,,,1,0
APOLLOHOSP.NS,2025-03-06,6274.10009765625,6724.076455078125,6713.770158691406,6608.922598884645,6606.3760627492975,40.96721635630136,-154.2652250882402,9.714799502855271,6767.013069038709,6355.043774414063,5943.074479789417,31.781475474813185,16.64922579163411,30.41147349981379,140.04829257349584,6504.922917062052,-17.769323720376274,,,1,0
UPL.NS,2025-03-06,624.7000122070312,583.8659997558593,564.7553828430176,598.6971396923182,560.384896200644,53.29746347507655,10.406165367345125,-5.365261097034084,657.383133050049,632.9475006103515,608.5118681706541,21.299005688098774,24.969371097570242,21.008225944034976,18.299283763943812,595.5519169626155,-31.687408465661658,,,1,0
GRASIM.NS,2025-03-06,2393.64990234375,2431.5069873046873,2584.6484643554686,2452.6367715325414,2505.0244025449833,45.27061778227423,-23.42695701071989,-4.335292200114406,2538.447949123648,2430.4824829101562,2322.5170166966645,17.451285191054428,15.095900553690017,24.720038241534326,56.15620113415427,2499.397813908802,-0.1100136226254711,,,1,0
